,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-12-08,76.18,77.25,75.400002,76.519997,76.519997,25733900
1,2014-12-09,75.199997,76.93,74.779999,76.839996,76.839996,25358600
2,2014-12-10,76.650002,77.550003,76.07,76.18,76.18,32210500
3,2014-12-11,76.519997,78.519997,76.480003,77.730003,77.730003,33462100
4,2014-12-12,77.160004,78.879997,77.019997,77.830002,77.830002,28091600
5,2014-12-15,78.459999,78.580002,76.559998,76.989998,76.989998,29396500
6,2014-12-16,76.190002,77.389999,74.589996,74.690002,74.690002,31554600
7,2014-12-17,75.010002,76.410004,74.900002,76.110001,76.110001,29203900
8,2014-12-18,76.889999,78.400002,76.510002,78.400002,78.400002,34222100
9,2014-12-19,78.75,80.0,78.330002,79.879997,79.879997,43335000
10,2014-12-22,80.080002,81.889999,80.0,81.449997,81.449997,31395800
11,2014-12-23,82.019997,82.169998,80.400002,80.610001,80.610001,19865800
12,2014-12-24,81.029999,81.43,80.75,80.769997,80.769997,7685500
13,2014-12-26,81.019997,81.279999,80.510002,80.779999,80.779999,10647400
14,2014-12-29,80.489998,80.959999,79.709999,80.019997,80.019997,14134700
15,2014-12-30,79.849998,80.589996,79.099998,79.220001,79.220001,14370800
16,2014-12-31,79.540001,79.800003,77.860001,78.019997,78.019997,19935400
17,2015-01-02,78.580002,78.93,77.699997,78.449997,78.449997,18177500
18,2015-01-05,77.980003,79.25,76.860001,77.190002,77.190002,26452200
19,2015-01-06,77.230003,77.589996,75.360001,76.150002,76.150002,27399300
20,2015-01-07,76.760002,77.360001,75.82,76.150002,76.150002,22045300
21,2015-01-08,76.739998,78.230003,76.080002,78.18,78.18,23961000
22,2015-01-09,78.199997,78.620003,77.199997,77.739998,77.739998,21157000
23,2015-01-12,77.839996,78.0,76.209999,76.720001,76.720001,19190200
24,2015-01-13,77.230003,78.080002,75.849998,76.449997,76.449997,25179600
25,2015-01-14,76.419998,77.199997,76.029999,76.279999,76.279999,25918600
26,2015-01-15,76.400002,76.57,73.540001,74.050003,74.050003,34134000
